Date,ETHUSD
10/14/2016,11.92
10/15/2016,11.95
10/16/2016,11.95
10/17/2016,11.96
10/18/2016,12.54
10/19/2016,12.01
10/20/2016,12.06
10/21/2016,12.05
10/22/2016,12.03
10/23/2016,11.94
10/24/2016,11.92
10/25/2016,11.33
10/26/2016,11.49
10/27/2016,11.48
10/28/2016,11.13
10/29/2016,10.47
10/30/2016,11.19
10/31/2016,10.98
11/1/2016,10.84
11/2/2016,10.83
11/3/2016,10.87
11/4/2016,11.15
11/5/2016,11.16
11/6/2016,11.01
11/7/2016,10.93
11/8/2016,10.84
11/9/2016,10.62
11/10/2016,10.51
11/11/2016,10.29
11/12/2016,9.95
11/13/2016,10.14
11/14/2016,10.02
11/15/2016,10.27
11/16/2016,10
11/17/2016,9.91
11/18/2016,9.51
11/19/2016,9.68
11/20/2016,9.6
11/21/2016,9.54
11/22/2016,9.87
11/23/2016,9.8
11/24/2016,9.18
11/25/2016,9.4
11/26/2016,9.33
11/27/2016,8.98
11/28/2016,8.67
11/29/2016,8.14
11/30/2016,8.61
12/1/2016,8.45
12/2/2016,7.73
12/3/2016,7.86
12/4/2016,7.37
12/5/2016,6.75
12/6/2016,7.83
12/7/2016,8.35
12/8/2016,8.2
12/9/2016,8.47
12/10/2016,8.14
12/11/2016,8.23
12/12/2016,8.5
12/13/2016,8.41
12/14/2016,8.24
12/15/2016,7.83
12/16/2016,7.84
12/17/2016,7.85
12/18/2016,7.92
12/19/2016,7.64
12/20/2016,7.64
12/21/2016,7.91
12/22/2016,7.55
12/23/2016,7.13
12/24/2016,7.22
12/25/2016,7.19
12/26/2016,7.26
12/27/2016,7.16
12/28/2016,7.62
12/29/2016,8.29
12/30/2016,8.21
12/31/2016,8.16
1/1/2017,8.18
1/2/2017,8.38
1/3/2017,9.59
1/4/2017,11.17
1/5/2017,10.23
1/6/2017,10.14
1/7/2017,9.92
1/8/2017,10.5
1/9/2017,10.39
1/10/2017,10.63
1/11/2017,9.95
1/12/2017,9.8
1/13/2017,9.84
1/14/2017,9.86
1/15/2017,9.9
1/16/2017,9.66
1/17/2017,10.34
1/18/2017,10.23
1/19/2017,10.42
1/20/2017,10.62
1/21/2017,10.93
1/22/2017,10.77
1/23/2017,10.8
1/24/2017,10.57
1/25/2017,10.55
1/26/2017,10.6
1/27/2017,10.55
1/28/2017,10.58
1/29/2017,10.49
1/30/2017,10.6
1/31/2017,10.7
2/1/2017,10.72
2/2/2017,10.82
2/3/2017,10.99
2/4/2017,11.41
2/5/2017,11.26
2/6/2017,11.34
2/7/2017,11.51
2/8/2017,11.41
2/9/2017,11.02
2/10/2017,11.43
2/11/2017,11.52
2/12/2017,11.5
2/13/2017,11.43
2/14/2017,13.14
2/15/2017,12.98
2/16/2017,12.89
2/17/2017,12.75
2/18/2017,12.89
2/19/2017,12.9
2/20/2017,12.61
2/21/2017,12.83
2/22/2017,12.75
2/23/2017,13.21
2/24/2017,13.2
2/25/2017,13.65
