BTCUSD,ETHUSD
638.03,11.92
638.16,11.95
641.92,11.95
639.56,11.96
635.11,12.54
629.79,12.01
628.05,12.06
630.83,12.05
652.75,12.03
651.04,11.94
649.98,11.92
654.3,11.33
674.0,11.49
691.21,11.48
689.95,11.13
714.28,10.47
697.41,11.19
696.9,10.98
730.7,10.84
744.6,10.83
690.0,10.87
706.32,11.15
706.99,11.16
717.02,11.01
706.42,10.93
711.15,10.84
720.97,10.62
712.91,10.51
716.9,10.29
704.53,9.95
704.01,10.14
708.32,10.02
712.29,10.27
739.85,10.0
730.71,9.91
748.54,9.51
750.77,9.68
731.99,9.6
736.4,9.54
746.66,9.87
741.52,9.8
737.99,9.18
739.74,9.4
735.7,9.33
729.24,8.98
729.77,8.67
732.37,8.14
742.69,8.61
754.0,8.45
769.25,7.73
766.98,7.86
767.99,7.37
752.0,6.75
759.8,7.83
764.34,8.35
767.89,8.2
773.22,8.47
775.87,8.14
771.05,8.23
778.94,8.5
776.18,8.41
777.66,8.24
776.16,7.83
780.98,7.84
788.57,7.85
790.72,7.92
790.81,7.64
798.99,7.64
834.5,7.91
856.02,7.55
917.26,7.13
891.5,7.22
896.12,7.19
902.09,7.26
925.2,7.16
982.17,7.62
970.72,8.29
960.81,8.21
973.37,8.16
992.95,8.18
1011.45,8.38
1020.67,9.59
1130.3,11.17
1007.0,10.23
895.71,10.14
909.0,9.92
923.33,10.5
902.66,10.39
907.0,10.63
795.77,9.95
812.25,9.8
831.42,9.84
828.0,9.86
833.31,9.9
834.41,9.66
906.0,10.34
887.99,10.23
902.92,10.42
894.31,10.62
925.06,10.93
931.22,10.77
910.7,10.8
887.0,10.57
896.0,10.55
917.02,10.6
922.63,10.55
924.98,10.58
916.54,10.49
923.23,10.6
970.01,10.7
992.75,10.72
1008.38,10.82
1018.0,10.99
1035.54,11.41
1016.32,11.26
1022.58,11.34
1053.96,11.51
1056.7,11.41
994.24,11.02
1001.99,11.43
1018.65,11.52
1010.0,11.5
1002.82,11.43
1013.92,13.14
1014.53,12.98
1038.94,12.89
1057.3,12.75
1062.15,12.89
1059.88,12.9
1089.82,12.61
1128.29,12.83
1128.71,12.75
1186.9,13.21
1186.91,13.2
1158.0,13.65
1184.91,14.74
1195.81,15.66
1195.08,16.4
1230.0,17.37
1269.17,19.27
1292.86,19.68
1273.97,18.65
1278.98,19.4
1284.99,19.68
1237.36,18.96
1150.22,16.68
1197.3,17.82
1109.01,19.2
1188.11,21.64
1235.58,23.39
1245.49,28.64
1247.42,28.69
1263.0,35.65
1175.11,45.96
1069.57,44.62
970.0,33.64
1019.49,43.21
1044.96,42.31
1114.42,42.36
1034.57,41.37
1025.14,42.99
934.87,52.93
963.72,50.5
973.08,50.73
1042.08,48.97
1045.4,50.3
1043.27,53.1
1042.34,51.88
1088.99,50.18
1092.0,50.71
1113.99,48.74
1152.6,44.25
1143.99,44.47
1132.99,44.78
1192.3,43.3
1194.0,42.32
1184.5,44.45
1210.97,43.92
1210.0,43.92
1223.99,43.83
1214.17,46.48
1177.05,49.77
1173.74,47.2
1178.85,48.94
1177.99,48.13
1189.91,47.94
1201.94,49.79
1214.21,47.78
1236.15,49.38
1249.99,48.37
1247.0,48.61
1251.98,48.96
1257.29,50.12
1281.16,50.31
1298.44,53.42
1349.26,63.67
1353.34,73.14
1365.43,70.4
1384.55,80.87
